subID,interview_age,sex,meanFD,site
HCD2239247,168,1,0.182446347973764,UCLA
HCD2240030,121,1,0.174089506923658,WashU
HCD2254243,117,1,0.151716062861241,Harvard
HCD2256651,183,0,0.156604875282502,UMinn
HCD2264549,112,0,0.202728907564722,UCLA
HCD2286155,184,0,0.0907346096488278,UCLA
HCD2300426,140,0,0.123226350841497,Harvard
HCD2301428,164,0,0.19041405664811,UCLA
HCD2304737,160,0,0.096640097237586,WashU
HCD2310328,250,0,0.174668795188471,WashU
HCD2311633,147,0,0.195601841988624,UMinn
HCD2335344,172,1,0.167123395385873,Harvard
HCD2336346,244,1,0.145250679104282,UCLA
HCD2339049,227,0,0.0994077226734046,Harvard
HCD2342745,144,0,0.0743381731500398,Harvard
HCD2344244,116,0,0.16226976823185,UCLA
HCD2353245,233,1,0.0717130658545911,Harvard
HCD2365454,229,1,0.184704992655431,Harvard
HCD2370952,104,0,0.155160563407344,UCLA
HCD2378463,168,1,0.133481846610919,UMinn
HCD2380753,106,0,0.119565195949317,Harvard
HCD2383658,221,1,0.12233135841892,UCLA
HCD2400026,176,0,0.10934077641367,Harvard
HCD2400632,189,1,0.119975968116082,Harvard
HCD2427753,233,1,0.1118209452828,UMinn
HCD2449763,186,1,0.134319359516571,WashU
HCD2462654,182,1,0.112561920813363,UMinn
HCD2478669,135,1,0.14790267272252,UMinn
HCD2483561,226,0,0.115487584822612,Harvard
HCD2483662,102,0,0.107452077291143,UMinn
HCD2485666,117,0,0.152411400892896,UCLA
HCD2491257,165,0,0.100404595148003,Harvard
HCD2496570,206,1,0.0996709183548954,Harvard
HCD2499576,263,1,0.0743917237915735,UMinn
HCD2504038,166,0,0.077696294316568,UMinn
HCD2523345,120,0,0.126648069616125,Harvard
HCD2524751,186,1,0.152676635468316,UCLA
HCD2537457,262,0,0.0925353568138016,UCLA
HCD2540648,167,0,0.126877164475064,UCLA
HCD2543250,153,1,0.177019059625465,UMinn
HCD2554255,192,0,0.142401305551329,UMinn
HCD2556158,260,1,0.0865744519612779,UMinn
HCD2565664,240,0,0.136348430961674,UMinn
HCD2568670,170,1,0.144389471014444,UMinn
HCD2581763,175,1,0.179037041938187,WashU
HCD2594671,113,1,0.151587338170587,UCLA
HCD2594772,128,0,0.144220070364387,UCLA
HCD2606652,201,1,0.100420663129106,UCLA
HCD2612142,252,0,0.0778849223149785,Harvard
HCD2618053,184,1,0.107925397712161,UMinn
HCD2631954,164,1,0.105932171512783,WashU
HCD2633554,156,1,0.175629780172539,WashU
HCD2655766,120,1,0.154887477591385,WashU
HCD2669575,155,0,0.0829620496885302,Harvard
HCD2679073,250,0,0.0564161096476006,UMinn
HCD2685169,146,0,0.185875153948218,UCLA
HCD2692671,125,0,0.252874252346346,UMinn
HCD2696780,223,1,0.0651838170595757,WashU
HCD2704551,127,0,0.137076819260132,UCLA
HCD2714655,178,1,0.0987070218092393,UCLA
HCD2715152,182,0,0.1089849865132,WashU
HCD2721147,160,0,0.122053790069671,WashU
HCD2724456,231,0,0.107873335273009,Harvard
HCD2731049,171,1,0.14898884740893,Harvard
